title,picture,url,media,press,campaign
L’Oréal urged to withdraw hair relaxers after studies find cancer risk,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.21.38.png,https://www.businesstelegraph.co.uk/loreal-urged-to-withdraw-hair-relaxers-after-studies-find-cancer-risk/,businesstelegraph.co.uk,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
L’Oréal urged to withdraw hair relaxers after studies find cancer risk,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.21.38.png,https://www.businesstelegraph.co.uk/loreal-urged-to-withdraw-hair-relaxers-after-studies-find-cancer-risk/,businesstelegraph.co.uk,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Why people are suing L’Oréal over hair relaxers,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.23.01.png,https://www.ft.com/content/ef79585c-43b3-47f5-9d27-b5899cbc8970,ft.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Why people are suing L’Oréal over hair relaxers,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.23.01.png,https://www.ft.com/content/ef79585c-43b3-47f5-9d27-b5899cbc8970,ft.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Activistas piden a L’Oréal que retire sus productos para alisar el cabello por vínculo con cáncer,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.51.57.png,https://www.binoticias.com/mundo/activistas-piden-loreal-que-retire-sus-productos-para-alisar-el-cabello-por-vinculo-con,binoticias.com,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Our@tedxlondontalk is live for #IWD2023 and we want to talk about feminist liberation & care!,https://www.welevelup.org/wp-content/uploads/2023/03/Captura-de-Pantalla-2023-03-09-a-las-17.11.54.png,https://bit.ly/3ZR4wTK,Ted Talk,Yes,DOMESTIC ABUSE IN THE MEDIA
Petitioners call for ban on domestic abuse victim-blaming in Editors’ Code,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-04-at-18.04.53.png,https://pressgazette.co.uk/media_law/editors-code-media-domestic-abuse-reporting/,pressgazette.co.uk,Yes,DOMESTIC ABUSE IN THE MEDIA
Why people are suing L’Oréal over hair relaxers,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.06.19.png,https://www.bbc.com/news/newsbeat-65189531,bbc,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Why people are suing L’Oréal over hair relaxers,https://www.welevelup.org/wp-content/uploads/2023/04/Screenshot-2023-04-25-at-14.06.19.png,https://www.bbc.com/news/newsbeat-65189531,bbc,Yes,TOXIC CHEMICALS IN HAIR RELAXERS
Urgent call for review into sentencing pregnant women due to health risks,https://www.welevelup.org/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.09.44.png,https://www.theguardian.com/society/2022/sep/24/urgent-call-for-review-into-sentencing-pregnant-women-due-to-health-risks,theguardian.com,Yes,PREGNANCY IN PRISON
HMP Bronzefield Surrey protest calls for ‘no more babies in prison’,https://www.welevelup.org/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-14.39.39.png,https://www.bbc.com/news/uk-england-surrey-63025914,bbc.com,Yes,PREGNANCY IN PRISON
‘Child’s birthday party’ protest outside prison to demonstrate against jailing pregnant women and new mothers,https://www.welevelup.org/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.07.33.png,https://news.sky.com/story/childs-birthday-party-protest-outside-prison-to-demonstrate-against-jailing-pregnant-women-and-new-mothers-12704801,news.sky.com,Yes,PREGNANCY IN PRISON
Protesters gather at HMP Bronzefield to call for end to pregnant women in prison,https://www.welevelup.org/wp-content/uploads/2022/09/Screenshot-2022-09-26-at-15.08.39.png,https://www.standard.co.uk/news/crime/hmp-bronzefield-activists-emma-hughes-evans-surrey-b1027886.html,standard.co.uk,Yes,PREGNANCY IN PRISON
"One woman shares her story as campaigners say prisons will never be safe for pregnant women, new mothers and babies",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.15.46.png,https://inews.co.uk/inews-lifestyle/women/pregnant-women-new-campaign-jail-prison-harm-baby-1210160,inews.co,Yes,PREGNANCY IN PRISON
"MUM’S TRAGEDY Pregnant teen, 18, found clinging to her dead baby girl in prison after cries for help ignored for 12 HOURS",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.23.02.png,https://www.thesun.co.uk/news/16207265/pregnant-teen-dead-baby-prison-ignored-help/,thesun.co,Yes,
"Prisoner, 18, tried to save baby after giving birth alone in cell",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.24.38.png,https://www.thetimes.co.uk/article/prisoner-18-tried-to-save-baby-after-giving-birth-alone-in-cell-frsb9kkgf,thetimes.co,Yes,PREGNANCY IN PRISON
Damning report published into death of baby born to teenager in prison cell,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.34.38.png,https://www.theguardian.com/society/2021/sep/22/damning-report-published-into-death-of-baby-born-to-teenager-in-prison-cell,theguardian.com,Yes,PREGNANCY IN PRISON
"Bronzefield infant death: Teenage woman gave birth alone in prison cell despite calling for help, report finds",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.36.31.png,https://www.independent.co.uk/news/uk/home-news/baby-death-bronzefield-prison-uk-b1924060.html,independent.co,Yes,PREGNANCY IN PRISON
Newborn baby dies in prison cell after teenage mother left alone without medical help,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.37.37.png,https://www.google.com/url?q=https://www.telegraph.co.uk/news/2021/09/22/newborn-baby-died-prison-cell-teenage-mother-left-alone-without/&sa=D&source=editors&ust=1658143140764286&usg=AOvVaw2-X4KQFepQKRsewBD2wd4Q,telegraph.co,Yes,PREGNANCY IN PRISON
‘Unsurprising’: Expert’s damning verdict on teenager whose baby died after giving birth in cell alone,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.47.42.png,https://www.mailplus.co.uk/edition/news/society/107952/unsurprising-experts-damning-verdict-on-teenager-whose-baby-died-after-giving-birth-in-cell-alone,mailplus.co,Yes,PREGNANCY IN PRISON
"Prison guards, but not mother, get counselling after baby dies in cell",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.48.47.png,https://www.theguardian.com/society/2021/sep/25/prison-guards-but-not-mother-get-counselling-after-baby-dies-in-cell,theguardian.com,Yes,PREGNANCY IN PRISON
Ministers urged to stop jailing of pregnant women under amendment to policing bill,https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.49.14.png,https://www.independent.co.uk/news/uk/home-news/prisons-pregnant-women-remand-children-b1970551.html,independent.co,Yes,PREGNANCY IN PRISON
"ShortJailed women in UK five times more likely to suffer stillbirths, data showsThis article is more than 7 moDescription",https://www.welevelup.org/wp-content/uploads/2022/07/Screenshot-2022-07-18-at-12.50.35.png,https://www.theguardian.com/society/2021/dec/05/jailed-women-in-uk-five-times-more-likely-to-suffer-stillbirths-data-shows,theguardian.com,Yes,
